"STATION","DATE","TMAX","TMAX_ATTRIBUTES"
"USW00012839","2015-11-29","81",",,W"
"USW00012839","2015-11-30","79",",,W"
"USW00012839","2015-12-01","83",",,W"
"USW00012839","2015-12-02","83",",,W"
"USW00012839","2015-12-03","84",",,W"
"USW00012839","2015-12-04","76",",,W"
"USW00012839","2015-12-05","77",",,W"
"USW00012839","2015-12-06","80",",,W"
"USW00012839","2015-12-07","76",",,W"
"USW00012839","2015-12-08","74",",,W"
"USW00012839","2015-12-09","83",",,W"
"USW00012839","2015-12-10","81",",,W"
"USW00012839","2015-12-11","83",",,W"
"USW00012839","2015-12-12","83",",,W"
"USW00012839","2015-12-13","82",",,W"
"USW00012839","2015-12-14","84",",,W"
"USW00012839","2015-12-15","84",",,W"
"USW00012839","2015-12-16","84",",,W"
"USW00012839","2015-12-17","84",",,W"
"USW00012839","2015-12-18","85",",,W"
"USW00012839","2015-12-19","76",",,W"
"USW00012839","2015-12-20","77",",,W"
"USW00012839","2015-12-21","82",",,W"
"USW00012839","2015-12-22","83",",,W"
"USW00012839","2015-12-23","83",",,W"
"USW00012839","2015-12-24","84",",,W"
"USW00012839","2015-12-25","84",",,W"
"USW00012839","2015-12-26","84",",,W"
"USW00012839","2015-12-27","83",",,W"
"USW00012839","2015-12-28","84",",,W"
"USW00012839","2015-12-29","83",",,W"
"USW00012839","2015-12-30","84",",,W"
"USW00012839","2015-12-31","84",",,W"
"USW00012839","2016-01-01","84",",,W"
"USW00012839","2016-01-02","84",",,W"
"USW00012839","2016-01-03","79",",,W"
"USW00012839","2016-01-04","71",",,W"
"USW00012839","2016-01-05","72",",,W"
"USW00012839","2016-01-06","74",",,W"
"USW00012839","2016-01-07","76",",,W"
"USW00012839","2016-01-08","80",",,W"
"USW00012839","2016-01-09","84",",,W"
"USW00012839","2016-01-10","83",",,W"
"USW00012839","2016-01-11","72",",,W"
"USW00012839","2016-01-12","66",",,W"
"USW00012839","2016-01-13","71",",,W"
"USW00012839","2016-01-14","72",",,W"
"USW00012839","2016-01-15","75",",,W"
"USW00012839","2016-01-16","78",",,W"
"USW00012839","2016-01-17","79",",,W"
"USW00012839","2016-01-18","66",",,W"
"USW00012839","2016-01-19","64",",,W"
"USW00012839","2016-01-20","72",",,W"
"USW00012839","2016-01-21","75",",,W"
"USW00012839","2016-01-22","72",",,W"
"USW00012839","2016-01-23","67",",,W"
"USW00012839","2016-01-24","61",",,W"
"USW00012839","2016-01-25","73",",,W"
"USW00012839","2016-01-26","79",",,W"
"USW00012839","2016-01-27","82",",,W"
"USW00012839","2016-01-28","74",",,W"
"USW00012839","2016-01-29","68",",,W"
"USW00012839","2016-01-30","73",",,W"
"USW00012839","2016-01-31","77",",,W"
"USW00012839","2016-02-01","78",",,W"
"USW00012839","2016-02-02","81",",,W"
"USW00012839","2016-02-03","81",",,W"
"USW00012839","2016-02-04","81",",,W"
"USW00012839","2016-02-05","74",",,W"
"USW00012839","2016-02-06","79",",,W"
"USW00012839","2016-02-07","65",",,W"
"USW00012839","2016-02-08","68",",,W"
"USW00012839","2016-02-09","67",",,W"
"USW00012839","2016-02-10","64",",,W"
"USW00012839","2016-02-11","71",",,W"
"USW00012839","2016-02-12","75",",,W"
"USW00012839","2016-02-13","76",",,W"
"USW00012839","2016-02-14","73",",,W"
"USW00012839","2016-02-15","75",",,W"
"USW00012839","2016-02-16","80",",,W"
"USW00012839","2016-02-17","77",",,W"
"USW00012839","2016-02-18","79",",,W"
"USW00012839","2016-02-19","76",",,W"
"USW00012839","2016-02-20","76",",,W"
"USW00012839","2016-02-21","79",",,W"
"USW00012839","2016-02-22","80",",,W"
"USW00012839","2016-02-23","81",",,W"
"USW00012839","2016-02-24","86",",,W"
"USW00012839","2016-02-25","70",",,W"
"USW00012839","2016-02-26","71",",,W"
"USW00012839","2016-02-27","71",",,W"
"USW00012839","2016-02-28","73",",,W"
"USW00012839","2016-02-29","78",",,W"
"USW00012839","2016-03-01","80",",,W"
"USW00012839","2016-03-02","83",",,W"
"USW00012839","2016-03-03","81",",,W"
"USW00012839","2016-03-04","85",",,W"
"USW00012839","2016-03-05","78",",,W"
"USW00012839","2016-03-06","81",",,W"
"USW00012839","2016-03-07","78",",,W"
"USW00012839","2016-03-08","80",",,W"
"USW00012839","2016-03-09","81",",,W"
"USW00012839","2016-03-10","84",",,W"
"USW00012839","2016-03-11","81",",,W"
"USW00012839","2016-03-12","81",",,W"
"USW00012839","2016-03-13","85",",,W"
"USW00012839","2016-03-14","86",",,W"
"USW00012839","2016-03-15","88",",,W"
"USW00012839","2016-03-16","87",",,W"
"USW00012839","2016-03-17","87",",,W"
"USW00012839","2016-03-18","89",",,W"
"USW00012839","2016-03-19","88",",,W"
"USW00012839","2016-03-20","86",",,W"
"USW00012839","2016-03-21","74",",,W"
"USW00012839","2016-03-22","76",",,W"
"USW00012839","2016-03-23","81",",,W"
"USW00012839","2016-03-24","82",",,W"
"USW00012839","2016-03-25","87",",,W"
"USW00012839","2016-03-26","87",",,W"
"USW00012839","2016-03-27","85",",,W"
"USW00012839","2016-03-28","91",",,W"
"USW00012839","2016-03-29","88",",,W"
"USW00012839","2016-03-30","80",",,W"
"USW00012839","2016-03-31","86",",,W"
"USW00012839","2016-04-01","89",",,W"
"USW00012839","2016-04-02","91",",,W"
"USW00012839","2016-04-03","81",",,W"
"USW00012839","2016-04-04","83",",,W"
"USW00012839","2016-04-05","85",",,W"
"USW00012839","2016-04-06","79",",,W"
"USW00012839","2016-04-07","85",",,W"
"USW00012839","2016-04-08","84",",,W"
"USW00012839","2016-04-09","81",",,W"
"USW00012839","2016-04-10","80",",,W"
"USW00012839","2016-04-11","82",",,W"
"USW00012839","2016-04-12","84",",,W"
"USW00012839","2016-04-13","84",",,W"
